paper_id,title,actual_decision,predicted_decision,quality_score,accept_probability,modify_probability,reject_probability,suggestions
8GSCaoFot9,Conservative State Value Estimation for Offline Reinforcement Learning,Accept (poster),Modify,45.5,0.1124,0.6225,0.2651,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
lRxpVfDMzz,Extensible Prompts for Language Models on Zero-shot Language Style Customization,Accept (poster),Reject,26.8,0.0228,0.4466,0.5306,"Major revision needed before submission; strengthen evidence and contribution framing. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
lM0xyViO90,On the Interplay between Social Welfare and Tractability of Equilibria,Accept (poster),Accept,92.2,0.8327,0.1624,0.0049,"Paper looks submission-ready; polish clarity and check reviewer-risk areas. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
Lkc0KjsDFv,CS-Isolate: Extracting Hard Confident Examples by Content and Style Isolation,Accept (poster),Modify,39.3,0.0931,0.5457,0.3611,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
niHkj9ixUZ,Beyond Pretrained Features: Noisy Image Modeling Provides Adversarial Defense,Accept (poster),Modify,34.0,0.0364,0.5527,0.4109,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
nijJN0LHqM,Practical Sharpness-Aware Minimization Cannot Converge All the Way to Optima,Accept (spotlight),Modify,72.3,0.4409,0.5122,0.0469,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
FQGRkwmRzm,Streaming PCA for Markovian Data,Accept (spotlight),Modify,57.7,0.242,0.6087,0.1492,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
k1Xy5zCNOJ,"Lookaround Optimizer: $k$ steps around, 1 step average",Accept (poster),Reject,21.7,0.0164,0.3641,0.6196,"Major revision needed before submission; strengthen evidence and contribution framing. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
bmdnWIuypV,Bringing regularized optimal transport to lightspeed: a splitting method adapted for GPUs,Accept (poster),Modify,47.2,0.1706,0.5488,0.2806,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
fyfmHi8ay3,Template-free Articulated Neural Point Clouds for Reposable View Synthesis,Accept (poster),Modify,40.2,0.0866,0.5734,0.34,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
dOxm4FnMFu,Locally Invariant Explanations: Towards Stable and Unidirectional Explanations through Local Invariant Learning,Accept (poster),Modify,42.1,0.0772,0.6246,0.2981,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
dnGEPkmnzO,Fully Dynamic $k$-Clustering in $\tilde O(k)$ Update Time,Accept (poster),Modify,64.3,0.3107,0.6044,0.085,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
T2lM4ohRwb,Connecting Certified and Adversarial Training,Accept (poster),Modify,45.0,0.0863,0.6607,0.253,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
sbusw6LD41,Quantizable Transformers: Removing Outliers by Helping Attention Heads Do Nothing,Accept (poster),Modify,51.9,0.1641,0.6457,0.1902,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
1G7CBp8o7L,Adapting Neural Link Predictors for Data-Efficient Complex Query Answering,Accept (poster),Modify,40.7,0.1182,0.5249,0.3569,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
bNIHdyunFC,Learning Layer-wise Equivariances Automatically using Gradients,Accept (spotlight),Modify,42.7,0.0988,0.5967,0.3045,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
F5FVsfCxt8,Decision Tree for Locally Private Estimation with Public Data,Accept (poster),Modify,44.9,0.0952,0.6437,0.2611,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
eLH2NFOO1B,Equivariant flow matching,Accept (poster),Modify,34.2,0.0677,0.4988,0.4335,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
co4p15OMoc,Implicit Manifold Gaussian Process Regression,Accept (poster),Accept,76.0,0.5134,0.4479,0.0387,"Paper looks submission-ready; polish clarity and check reviewer-risk areas. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
3pEBW2UPAD,ReHLine: Regularized Composite ReLU-ReHU Loss Minimization with Linear Computation and Linear Convergence,Accept (poster),Reject,29.4,0.0326,0.4758,0.4916,"Major revision needed before submission; strengthen evidence and contribution framing. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
hlkhPdhuAO,Global-correlated 3D-decoupling Transformer for Clothed Avatar Reconstruction,Accept (poster),Modify,34.5,0.0254,0.5802,0.3943,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
BdvCo8RVlx,The Contextual Lasso: Sparse Linear Models via Deep Neural Networks,Accept (poster),Modify,44.0,0.1559,0.5157,0.3284,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
DS4rKySlYC,Causal Interpretation of Self-Attention in Pre-Trained Transformers,Accept (poster),Modify,74.9,0.4758,0.4974,0.0268,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
L7Whl9pXd0,Efficient Batched Algorithm for Contextual Linear Bandits with Large Action Space via Soft Elimination,Accept (poster),Modify,55.1,0.1791,0.6764,0.1445,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
I50HbChk3U,Provably Bounding Neural Network Preimages,Accept (spotlight),Modify,57.6,0.2498,0.5923,0.1579,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
7zkFc9TGKz,LD2: Scalable Heterophilous Graph Neural Network with Decoupled Embeddings,Accept (poster),Modify,40.6,0.07,0.6105,0.3195,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
tj86aGVNb3,Feature learning via mean-field Langevin dynamics: classifying sparse parities and beyond,Accept (poster),Accept,79.4,0.5707,0.4065,0.0228,"Paper looks submission-ready; polish clarity and check reviewer-risk areas. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
JOkgEY9os2,MMD-Fuse: Learning and Combining Kernels for Two-Sample Testing Without Data Splitting,Accept (spotlight),Modify,50.1,0.1612,0.6184,0.2204,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
9STYRIVx6u,"Convergence of mean-field Langevin dynamics: time-space discretization, stochastic gradient, and variance reduction",Accept (spotlight),Accept,85.7,0.741,0.2108,0.0482,"Paper looks submission-ready; polish clarity and check reviewer-risk areas. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
3CJOaJugMG,On the Last-iterate Convergence in Time-varying Zero-sum Games: Extra Gradient Succeeds where Optimism Fails,Accept (poster),Accept,76.9,0.5406,0.4145,0.0449,"Paper looks submission-ready; polish clarity and check reviewer-risk areas. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
GuErIOGLie,Unified Segment-to-Segment Framework for Simultaneous Sequence Generation,Accept (poster),Modify,48.5,0.0981,0.7037,0.1983,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
lRG11M91dx,Functional-Group-Based Diffusion for Pocket-Specific Molecule Generation and Elaboration,Accept (poster),Reject,28.0,0.0308,0.4526,0.5166,"Major revision needed before submission; strengthen evidence and contribution framing. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
lOCHMGO6ow,Energy-Based Cross Attention for Bayesian Context Update in Text-to-Image Diffusion Models,Accept (poster),Reject,31.2,0.0583,0.4618,0.4799,"Major revision needed before submission; strengthen evidence and contribution framing. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
bY0c46ZtXa,Hybrid Search for Efficient Planning with Completeness Guarantees,Accept (poster),Modify,38.7,0.0358,0.6391,0.3251,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
N7tw0QXx3z,SLaM: Student-Label Mixing for  Distillation with Unlabeled Examples,Accept (poster),Modify,49.1,0.1206,0.673,0.2064,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
TUGoUNkccV,Correlative Information Maximization: A Biologically Plausible Approach to Supervised Deep Neural Networks without Weight Symmetry,Accept (poster),Modify,50.5,0.1707,0.6076,0.2217,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
B4G87Bq5wA,Fast Approximation of Similarity Graphs with Kernel Density Estimation,Accept (spotlight),Modify,41.5,0.1427,0.496,0.3614,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
6kRQTPEVip,AI for Interpretable Chemistry: Predicting Radical Mechanistic Pathways via Contrastive Learning,Accept (poster),Reject,0.0,0.0,0.0,1.0,"Major revision needed before submission; strengthen evidence and contribution framing. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
43ruO2fMjq,A Unified Framework for U-Net Design and Analysis,Accept (poster),Modify,42.0,0.1087,0.5664,0.3249,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
NLpXRrjpa6,Policy Gradient for Rectangular Robust Markov Decision Processes,Accept (poster),Modify,48.3,0.1667,0.5744,0.2589,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
cUuXVaMmmv,Discovering Hierarchical Achievements in Reinforcement Learning via Contrastive Learning,Accept (poster),Modify,45.9,0.0831,0.6842,0.2327,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
GJtP1ZEzua,D4Explainer: In-distribution Explanations of Graph Neural Network via Discrete Denoising Diffusion,Accept (poster),Modify,50.0,0.1103,0.7079,0.1818,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
exiXmAfuDK,An Adaptive Algorithm for Learning with Unknown Distribution Drift,Accept (poster),Modify,60.4,0.2335,0.6727,0.0937,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
PkKpTK7hJ6,Truncating Trajectories in Monte Carlo Policy Evaluation: an Adaptive Approach,Accept (poster),Modify,45.4,0.1106,0.6251,0.2643,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
iWGC0Nsq9i,"Provable benefits of annealing for estimating normalizing constants: Importance Sampling, Noise-Contrastive Estimation, and beyond",Accept (spotlight),Modify,44.5,0.157,0.5234,0.3196,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
6OOgw4boZI,TempME: Towards the Explainability of Temporal Graph Neural Networks via Motif Discovery,Accept (poster),Modify,31.0,0.0409,0.4891,0.47,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
08hStXdT1s,Knowledge Diffusion for Distillation,Accept (poster),Modify,34.6,0.0497,0.5382,0.4121,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
o7HckkxOZH,Regression with Cost-based Rejection,Accept (poster),Modify,43.9,0.0909,0.6325,0.2765,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
nBFMCyEi0j,Predicting Global Label Relationship Matrix for Graph Neural Networks under Heterophily,Accept (poster),Modify,36.7,0.0561,0.5658,0.3781,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
Deb1yP1zMN,Automatic Integration for Spatiotemporal Neural Point Processes,Accept (poster),Modify,40.5,0.0626,0.6224,0.315,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
jgIrJeHHlz,Debiasing Scores and Prompts of 2D Diffusion for View-consistent Text-to-3D Generation,Accept (poster),Modify,49.8,0.0788,0.7628,0.1584,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
6IhNHKyuJO,Hierarchical Randomized Smoothing,Accept (poster),Modify,51.9,0.1961,0.5876,0.2164,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
eTF3VDH2b6,Direct Training of SNN using Local Zeroth Order Method,Accept (poster),Modify,49.8,0.1517,0.6305,0.2178,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
KoFYzuwjCA,Disentangling Voice and Content with Self-Supervision for Speaker Recognition,Accept (poster),Modify,35.2,0.0314,0.5837,0.3849,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
N5uUTWLz0E,Understanding and Improving Ensemble Adversarial Defense,Accept (poster),Modify,33.5,0.0461,0.5248,0.4292,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
nF6X3u0FaA,Contrastive Training of Complex-Valued Autoencoders for Object Discovery,Accept (poster),Modify,37.1,0.0402,0.601,0.3589,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
gGl0n7Onug,Theoretical and Practical Perspectives on what Influence Functions Do,Accept (spotlight),Accept,72.0,0.467,0.4591,0.0739,"Paper looks submission-ready; polish clarity and check reviewer-risk areas. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
cAaTbLa3ad,Estimating the Rate-Distortion Function by Wasserstein Gradient Descent,Accept (poster),Modify,57.4,0.2568,0.5773,0.166,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
qPUbKxKvXq,Monitor-Guided Decoding of Code LMs with Static Analysis of Repository Context,Accept (poster),Modify,50.9,0.1699,0.6163,0.2137,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
eP6cDDwBNC,TRIAGE: Characterizing and auditing training data for improved regression,Accept (poster),Modify,31.9,0.052,0.4853,0.4626,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
4L9g1jUDtO,Generalization in the Face of Adaptivity: A Bayesian Perspective,Accept (spotlight),Modify,68.2,0.3692,0.568,0.0628,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
M4h1UAxI3b,H-nobs: Achieving Certified Fairness and Robustness in Distributed Learning on Heterogeneous Datasets,Accept (poster),Modify,52.2,0.1474,0.6808,0.1718,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
Pk49a9snPe,ViCA-NeRF: View-Consistency-Aware 3D Editing of Neural Radiance Fields,Accept (poster),Modify,45.4,0.1202,0.6062,0.2736,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
bPJmu1PbZD,Efficiently incorporating quintuple interactions into geometric deep learning force fields,Accept (poster),Modify,40.3,0.0475,0.647,0.3055,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
o4RtDFMSNL,Causal de Finetti: On the Identification of Invariant Causal Structure in Exchangeable Data,Accept (poster),Accept,78.3,0.5512,0.4209,0.028,"Paper looks submission-ready; polish clarity and check reviewer-risk areas. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
QNUs3Ramad,Adversarial Self-Training Improves Robustness and Generalization for Gradual Domain Adaptation,Accept (poster),Modify,54.1,0.1771,0.6611,0.1619,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
j9wGUcS30B,On Masked Pre-training and the Marginal Likelihood,Accept (poster),Modify,66.0,0.3546,0.5551,0.0903,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
PnJaA0A8Lr,Trajectory Alignment: Understanding the Edge of Stability Phenomenon via Bifurcation Theory,Accept (poster),Accept,80.1,0.5884,0.3871,0.0244,"Paper looks submission-ready; polish clarity and check reviewer-risk areas. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
SQouRKRIXY,MomentDiff: Generative Video Moment Retrieval from Random to Real,Accept (poster),Modify,35.9,0.0885,0.4918,0.4196,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
D1sECc9fiG,Temporal Dynamic Quantization for Diffusion Models,Accept (poster),Modify,43.0,0.0607,0.6714,0.2678,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
psXVkKO9No,Self-Predictive Universal AI,Accept (poster),Accept,74.6,0.4919,0.4623,0.0458,"Paper looks submission-ready; polish clarity and check reviewer-risk areas. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
PnWakgg1RL,FABind: Fast and Accurate Protein-Ligand Binding,Accept (poster),Modify,43.8,0.13,0.5597,0.3103,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
NTSbj2otOA,First- and Second-Order Bounds for Adversarial Linear Contextual Bandits,Accept (poster),Accept,82.1,0.6335,0.3404,0.0261,"Paper looks submission-ready; polish clarity and check reviewer-risk areas. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
bETvUctiTR,Differentiable Neuro-Symbolic Reasoning on Large-Scale Knowledge Graphs,Accept (poster),Modify,32.8,0.0345,0.5332,0.4322,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
HUuEMMM8Ik,Detecting hidden confounding in observational data using multiple environments,Accept (poster),Modify,71.8,0.4543,0.4795,0.0661,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
eeeqORvJbf,Learning and processing the ordinal information of temporal sequences in recurrent neural circuits,Accept (poster),Accept,75.2,0.4939,0.4699,0.0361,"Paper looks submission-ready; polish clarity and check reviewer-risk areas. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
fY7dShbtmo,Multi Time Scale World Models,Accept (spotlight),Modify,44.6,0.0946,0.6394,0.2659,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
