paper_id,conference,split,title,actual_label,predicted_decision,accept_probability,reject_probability,xai_focus,suggestion_1,suggestion_2,suggestion_3,suggestions
1512.02011,arxiv.cs.ai_2007-2017,train,How to Discount Deep Reinforcement Learning: Towards New Dynamic Strategies,Reject,Reject,0.3105,0.6895,Paper length: 2119.0; Conclusion Word Count: 143.0; Title Word Count: 10.0,"Expand or tighten the manuscript so the contribution, method, evidence, and limitations are clear.",Improve this paper aspect before submission.,Improve related-work coverage with precise citations.,"Expand or tighten the manuscript so the contribution, method, evidence, and limitations are clear. Improve this paper aspect before submission. Improve related-work coverage with precise citations. Improve readability by simplifying long sentences."
1512.03012,arxiv.cs.ai_2007-2017,train,ShapeNet: An Information-Rich 3D Model Repository,Reject,Modify,0.3666,0.6334,Conclusion Word Count: 186.0; Has Experiments: 0.0; Experiment detail: 0.0,Improve this paper aspect before submission.,"Strengthen experiments with datasets, metrics, and comparisons.",Improve related-work coverage with precise citations.,"Improve this paper aspect before submission. Strengthen experiments with datasets, metrics, and comparisons. Improve related-work coverage with precise citations. Find and fix the strongest negative reviewer concern."
1512.0302,arxiv.cs.ai_2007-2017,train,Learning measures of semi-additive behaviour,Reject,Modify,0.5205,0.4795,Conclusion Word Count: 155.0; Paper length: 2410.0; Has Related Work: 0.0,Improve this paper aspect before submission.,"Expand or tighten the manuscript so the contribution, method, evidence, and limitations are clear.",Find and fix the strongest negative reviewer concern.,"Improve this paper aspect before submission. Expand or tighten the manuscript so the contribution, method, evidence, and limitations are clear. Find and fix the strongest negative reviewer concern. Address reviewer concerns that lowered recommendation scores."
1512.04652,arxiv.cs.ai_2007-2017,train,Hyper-Heuristic Algorithm for Finding Efficient Features in Diagnose of Lung Cancer Disease,Reject,Modify,0.5065,0.4935,Has Conclusion: 0.0; Title Word Count: 12.0; Paper length: 3199.0,Improve this paper aspect before submission.,"Expand or tighten the manuscript so the contribution, method, evidence, and limitations are clear.",Improve related-work coverage with precise citations.,"Improve this paper aspect before submission. Expand or tighten the manuscript so the contribution, method, evidence, and limitations are clear. Improve related-work coverage with precise citations. Make the novelty and contribution claims more explicit."
1512.06492,arxiv.cs.ai_2007-2017,train,Remote Health Coaching System and Human Motion Data Analysis for Physical Therapy with Microsoft Kinect,Reject,Reject,0.2435,0.7565,Title Word Count: 15.0; Paper length: 2107.0; Has Experiments: 0.0,Improve this paper aspect before submission.,"Expand or tighten the manuscript so the contribution, method, evidence, and limitations are clear.","Strengthen experiments with datasets, metrics, and comparisons.","Improve this paper aspect before submission. Expand or tighten the manuscript so the contribution, method, evidence, and limitations are clear. Strengthen experiments with datasets, metrics, and comparisons."
1512.06633,arxiv.cs.ai_2007-2017,train,Constrained Sampling and Counting: Universal Hashing Meets SAT Solving∗,Reject,Modify,0.4191,0.5809,Has Experiments: 0.0; Experiment detail: 0.0; Large Collaboration: 1.0,Improve this paper aspect before submission.,"Strengthen experiments with datasets, metrics, and comparisons.",Find and fix the strongest negative reviewer concern.,"Improve this paper aspect before submission. Strengthen experiments with datasets, metrics, and comparisons. Find and fix the strongest negative reviewer concern."
1512.08849,arxiv.cs.ai_2007-2017,train,Learning Natural Language Inference with LSTM,Accept,Modify,0.5296,0.4704,Conclusion Word Count: 183.0; Limitation discussion: 3.0; Novelty framing: 18.0,Improve this paper aspect before submission.,"Add limitations, failure cases, and future work.",Make the novelty and contribution claims more explicit.,"Improve this paper aspect before submission. Add limitations, failure cases, and future work. Make the novelty and contribution claims more explicit. Find and fix the strongest negative reviewer concern. Address reviewer concerns that lowered recommendation scores."
1601.00287,arxiv.cs.ai_2007-2017,train,,Reject,Reject,0.3035,0.6965,Average Title Word Length: 0.0; Has Experiments: 0.0; Paper length: 2628.0,Improve this paper aspect before submission.,"Expand or tighten the manuscript so the contribution, method, evidence, and limitations are clear.","Strengthen experiments with datasets, metrics, and comparisons.","Improve this paper aspect before submission. Expand or tighten the manuscript so the contribution, method, evidence, and limitations are clear. Strengthen experiments with datasets, metrics, and comparisons. Clarify the methodology with reproducible details."
1601.00318,arxiv.cs.ai_2007-2017,train,A Unified Approach for Learning the Parameters of Sum-Product Networks,Accept,Modify,0.4688,0.5312,Title Word Count: 10.0; Has Related Work: 0.0; Conclusion Word Count: 75.0,Improve this paper aspect before submission.,Find and fix the strongest negative reviewer concern.,Address reviewer concerns that lowered recommendation scores.,Improve this paper aspect before submission. Find and fix the strongest negative reviewer concern. Address reviewer concerns that lowered recommendation scores.
1601.00706,arxiv.cs.ai_2007-2017,train,Weakly-supervised Disentangling with Recurrent Transformations for 3D View Synthesis,Accept,Modify,0.4548,0.5452,Conclusion Word Count: 186.0; Citation coverage: 33.0; Limitation discussion: 2.0,Improve this paper aspect before submission.,Improve related-work coverage with precise citations.,"Add limitations, failure cases, and future work.","Improve this paper aspect before submission. Improve related-work coverage with precise citations. Add limitations, failure cases, and future work. Make the novelty and contribution claims more explicit. Find and fix the strongest negative reviewer concern."
1601.03065,arxiv.cs.ai_2007-2017,train,An Application of the Generalized Rectangular Fuzzy Model to Critical Thinking Assessment,Reject,Reject,0.3029,0.6971,Has Conclusion: 0.0; Has Experiments: 0.0; Title Word Count: 12.0,Improve this paper aspect before submission.,"Strengthen experiments with datasets, metrics, and comparisons.",Improve related-work coverage with precise citations.,"Improve this paper aspect before submission. Strengthen experiments with datasets, metrics, and comparisons. Improve related-work coverage with precise citations."
1601.04574,arxiv.cs.ai_2007-2017,train,SimpleDS: A Simple Deep Reinforcement Learning Dialogue System,Reject,Reject,0.1632,0.8368,Has Conclusion: 0.0; Paper length: 1911.0; Has Experiments: 0.0,Improve this paper aspect before submission.,"Expand or tighten the manuscript so the contribution, method, evidence, and limitations are clear.","Add limitations, failure cases, and future work.","Improve this paper aspect before submission. Expand or tighten the manuscript so the contribution, method, evidence, and limitations are clear. Add limitations, failure cases, and future work."
1601.06071,arxiv.cs.ai_2007-2017,train,Bitwise Neural Networks,Reject,Modify,0.5117,0.4883,Paper length: 2675.0; Conclusion Word Count: 82.0; Has Related Work: 0.0,"Expand or tighten the manuscript so the contribution, method, evidence, and limitations are clear.",Improve this paper aspect before submission.,Find and fix the strongest negative reviewer concern.,"Expand or tighten the manuscript so the contribution, method, evidence, and limitations are clear. Improve this paper aspect before submission. Find and fix the strongest negative reviewer concern. Address reviewer concerns that lowered recommendation scores."
1601.06569,arxiv.cs.ai_2007-2017,train,Towards Resolving Unidentifiability in Inverse Reinforcement Learning,Reject,Modify,0.5788,0.4212,Conclusion Word Count: 275.0; Novelty framing: 27.0; Has Related Work: 0.0,Improve this paper aspect before submission.,Make the novelty and contribution claims more explicit.,"Add implementation details, code/data notes, and hyperparameters.","Improve this paper aspect before submission. Make the novelty and contribution claims more explicit. Add implementation details, code/data notes, and hyperparameters. Improve related-work coverage with precise citations. Find and fix the strongest negative reviewer concern."
1602.00198,arxiv.cs.ai_2007-2017,train,,Reject,Reject,0.3199,0.6801,Average Title Word Length: 0.0; Has Conclusion: 0.0; Has Experiments: 0.0,Improve this paper aspect before submission.,"Strengthen experiments with datasets, metrics, and comparisons.",,"Improve this paper aspect before submission. Strengthen experiments with datasets, metrics, and comparisons."
1602.00753,arxiv.cs.ai_2007-2017,train,Are Elephants Bigger than Butterflies? Reasoning about Sizes of Objects,Accept,Modify,0.4118,0.5882,Contains Question: 1.0; Conclusion Word Count: 135.0; Title Word Count: 10.0,Improve this paper aspect before submission.,Find and fix the strongest negative reviewer concern.,Address reviewer concerns that lowered recommendation scores.,"Improve this paper aspect before submission. Find and fix the strongest negative reviewer concern. Address reviewer concerns that lowered recommendation scores. Add limitations, failure cases, and future work."
1602.00991,arxiv.cs.ai_2007-2017,train,Deep Tracking: Seeing Beyond Seeing Using Recurrent Neural Networks,Accept,Modify,0.4073,0.5927,Conclusion Word Count: 172.0; Title Word Count: 9.0; Sentence complexity: 24.676,Improve this paper aspect before submission.,Improve readability by simplifying long sentences.,"Expand or tighten the manuscript so the contribution, method, evidence, and limitations are clear.","Improve this paper aspect before submission. Improve readability by simplifying long sentences. Expand or tighten the manuscript so the contribution, method, evidence, and limitations are clear. Find and fix the strongest negative reviewer concern."
1602.01971,arxiv.cs.ai_2007-2017,train,Wayfinding and cognitive maps for pedestrian models,Reject,Modify,0.3716,0.6284,Has Conclusion: 0.0; Paper length: 2122.0; Has Experiments: 0.0,Improve this paper aspect before submission.,"Expand or tighten the manuscript so the contribution, method, evidence, and limitations are clear.","Strengthen experiments with datasets, metrics, and comparisons.","Improve this paper aspect before submission. Expand or tighten the manuscript so the contribution, method, evidence, and limitations are clear. Strengthen experiments with datasets, metrics, and comparisons. Add implementation details, code/data notes, and hyperparameters."
1602.02261,arxiv.cs.ai_2007-2017,train,End-to-End Goal-Driven Web Navigation,Accept,Modify,0.3857,0.6143,Has Experiments: 0.0; Conclusion Word Count: 157.0; Experiment detail: 0.0,Improve this paper aspect before submission.,"Strengthen experiments with datasets, metrics, and comparisons.",Find and fix the strongest negative reviewer concern.,"Improve this paper aspect before submission. Strengthen experiments with datasets, metrics, and comparisons. Find and fix the strongest negative reviewer concern. Make the novelty and contribution claims more explicit."
1602.02706,arxiv.cs.ai_2007-2017,train,Decoy Bandits Dueling on a Poset,Reject,Modify,0.5536,0.4464,Conclusion Word Count: 89.0; Average Title Word Length: 4.5; Lowest recommendation: 0.0,Improve this paper aspect before submission.,Find and fix the strongest negative reviewer concern.,Address reviewer concerns that lowered recommendation scores.,"Improve this paper aspect before submission. Find and fix the strongest negative reviewer concern. Address reviewer concerns that lowered recommendation scores. Add limitations, failure cases, and future work."
1602.03203,arxiv.cs.ai_2007-2017,train,Time Resource Networks,Reject,Modify,0.4814,0.5186,Has Experiments: 0.0; Experiment detail: 0.0; Conclusion Word Count: 102.0,Improve this paper aspect before submission.,"Strengthen experiments with datasets, metrics, and comparisons.","Add limitations, failure cases, and future work.","Improve this paper aspect before submission. Strengthen experiments with datasets, metrics, and comparisons. Add limitations, failure cases, and future work. Expand or tighten the manuscript so the contribution, method, evidence, and limitations are clear. Find and fix the strongest negative reviewer concern."
1602.03291,arxiv.cs.ai_2007-2017,train,Feature Based Task Recommendation in Crowdsourcing with Implicit Observations,Reject,Modify,0.5505,0.4495,Paper length: 1447.0; Title Word Count: 9.0; Lowest recommendation: 0.0,"Expand or tighten the manuscript so the contribution, method, evidence, and limitations are clear.",Improve this paper aspect before submission.,Find and fix the strongest negative reviewer concern.,"Expand or tighten the manuscript so the contribution, method, evidence, and limitations are clear. Improve this paper aspect before submission. Find and fix the strongest negative reviewer concern. Address reviewer concerns that lowered recommendation scores."
1602.03348,arxiv.cs.ai_2007-2017,train,Iterative Hierarchical Optimization for Misspecified Problems (IHOMP),Reject,Accept,0.7244,0.2756,Has Conclusion: 0.0; Has Related Work: 0.0; Reproducibility evidence: 0.0,Improve this paper aspect before submission.,"Add implementation details, code/data notes, and hyperparameters.",Find and fix the strongest negative reviewer concern.,"Improve this paper aspect before submission. Add implementation details, code/data notes, and hyperparameters. Find and fix the strongest negative reviewer concern. Address reviewer concerns that lowered recommendation scores."
1602.04032,arxiv.cs.ai_2007-2017,train,A Truthful Mechanism with Biparameter Learning for Online Crowdsourcing,Reject,Reject,0.252,0.748,Limitation discussion: 17.0; Has Experiments: 0.0; Conclusion Word Count: 133.0,"Add limitations, failure cases, and future work.",Improve this paper aspect before submission.,"Strengthen experiments with datasets, metrics, and comparisons.","Add limitations, failure cases, and future work. Improve this paper aspect before submission. Strengthen experiments with datasets, metrics, and comparisons. Add implementation details, code/data notes, and hyperparameters."
1602.04621,arxiv.cs.ai_2007-2017,train,Deep Exploration via Bootstrapped DQN,Accept,Accept,0.7694,0.2306,Has Conclusion: 0.0; Lowest recommendation: 0.0; Reviewer recommendation score: 0.0,Improve this paper aspect before submission.,Find and fix the strongest negative reviewer concern.,Address reviewer concerns that lowered recommendation scores.,Improve this paper aspect before submission. Find and fix the strongest negative reviewer concern. Address reviewer concerns that lowered recommendation scores. Improve related-work coverage with precise citations.
1602.04889,arxiv.cs.ai_2007-2017,train,Multi-Source Domain Adaptation Using Approximate Label Matching,Reject,Accept,0.6798,0.3202,Has Conclusion: 0.0; Paper length: 2969.0; Lowest recommendation: 0.0,Improve this paper aspect before submission.,"Expand or tighten the manuscript so the contribution, method, evidence, and limitations are clear.",Find and fix the strongest negative reviewer concern.,"Improve this paper aspect before submission. Expand or tighten the manuscript so the contribution, method, evidence, and limitations are clear. Find and fix the strongest negative reviewer concern. Address reviewer concerns that lowered recommendation scores."
1602.05292,arxiv.cs.ai_2007-2017,train,Authorship Attribution Using a Neural Network Language Model,Accept,Reject,0.2314,0.7686,Paper length: 1089.0; Has Experiments: 0.0; Conclusion Word Count: 152.0,"Expand or tighten the manuscript so the contribution, method, evidence, and limitations are clear.",Improve this paper aspect before submission.,"Strengthen experiments with datasets, metrics, and comparisons.","Expand or tighten the manuscript so the contribution, method, evidence, and limitations are clear. Improve this paper aspect before submission. Strengthen experiments with datasets, metrics, and comparisons."
1602.05352,arxiv.cs.ai_2007-2017,train,Recommendations as Treatments: Debiasing Learning and Evaluation ,Accept,Modify,0.6185,0.3815,Large Collaboration: 1.0; Conclusion Word Count: 75.0; Lowest recommendation: 0.0,Improve this paper aspect before submission.,Find and fix the strongest negative reviewer concern.,Address reviewer concerns that lowered recommendation scores.,Improve this paper aspect before submission. Find and fix the strongest negative reviewer concern. Address reviewer concerns that lowered recommendation scores. Make the novelty and contribution claims more explicit.
1602.06359,arxiv.cs.ai_2007-2017,train,Text Matching as Image Recognition,Accept,Modify,0.469,0.531,Large Collaboration: 1.0; Limitation discussion: 2.0; Introduction detail: 157.0,Improve this paper aspect before submission.,"Add limitations, failure cases, and future work.","Expand or tighten the manuscript so the contribution, method, evidence, and limitations are clear.","Improve this paper aspect before submission. Add limitations, failure cases, and future work. Expand or tighten the manuscript so the contribution, method, evidence, and limitations are clear. Find and fix the strongest negative reviewer concern. Address reviewer concerns that lowered recommendation scores."
1602.06484,arxiv.cs.ai_2007-2017,train,Computational Narrative Intelligence: A Human-Centered Goal for Artificial Intelligence,Reject,Reject,0.1467,0.8533,Has Experiments: 0.0; Paper length: 2462.0; Multi Author: 0.0,Improve this paper aspect before submission.,"Expand or tighten the manuscript so the contribution, method, evidence, and limitations are clear.","Strengthen experiments with datasets, metrics, and comparisons.","Improve this paper aspect before submission. Expand or tighten the manuscript so the contribution, method, evidence, and limitations are clear. Strengthen experiments with datasets, metrics, and comparisons."
1602.06539,arxiv.cs.ai_2007-2017,train,Determining the best attributes for surveillance video keywords generation,Reject,Modify,0.4196,0.5804,Conclusion Word Count: 263.0; Citation coverage: 43.0; Large Collaboration: 1.0,Improve this paper aspect before submission.,Improve related-work coverage with precise citations.,Make the novelty and contribution claims more explicit.,Improve this paper aspect before submission. Improve related-work coverage with precise citations. Make the novelty and contribution claims more explicit. Clarify the methodology with reproducible details.
1602.07024,arxiv.cs.ai_2007-2017,train,Moving Target Defense for Web Applications using Bayesian Stackelberg Games,Reject,Reject,0.28,0.72,Conclusion Word Count: 258.0; Has Experiments: 0.0; Experiment detail: 0.0,Improve this paper aspect before submission.,"Strengthen experiments with datasets, metrics, and comparisons.","Add limitations, failure cases, and future work.","Improve this paper aspect before submission. Strengthen experiments with datasets, metrics, and comparisons. Add limitations, failure cases, and future work."
1602.07362,arxiv.cs.ai_2007-2017,train,The Possibilities and Limitations of Private Prediction Markets,Reject,Reject,0.1577,0.8423,Conclusion Word Count: 2335.0; Methodology detail: 0.0; Has Experiments: 0.0,Improve this paper aspect before submission.,Clarify the methodology with reproducible details.,"Strengthen experiments with datasets, metrics, and comparisons.","Improve this paper aspect before submission. Clarify the methodology with reproducible details. Strengthen experiments with datasets, metrics, and comparisons."
1602.07714,arxiv.cs.ai_2007-2017,train,Learning functions across many orders of magnitudes,Accept,Modify,0.4264,0.5736,Has Introduction: 0.0; Introduction detail: 0.0; Has Conclusion: 0.0,Improve this paper aspect before submission.,Find and fix the strongest negative reviewer concern.,Address reviewer concerns that lowered recommendation scores.,Improve this paper aspect before submission. Find and fix the strongest negative reviewer concern. Address reviewer concerns that lowered recommendation scores.
1602.07868,arxiv.cs.ai_2007-2017,train,Weight Normalization: A Simple Reparameterization  to Accelerate Training of Deep Neural Networks,Accept,Modify,0.3955,0.6045,Title Word Count: 12.0; Conclusion Word Count: 84.0; Has Related Work: 0.0,Improve this paper aspect before submission.,Find and fix the strongest negative reviewer concern.,"Expand or tighten the manuscript so the contribution, method, evidence, and limitations are clear.","Improve this paper aspect before submission. Find and fix the strongest negative reviewer concern. Expand or tighten the manuscript so the contribution, method, evidence, and limitations are clear."
1602.0861,arxiv.cs.ai_2007-2017,train,Scalable Bayesian Rule Lists,Accept,Accept,0.7307,0.2693,Has Conclusion: 0.0; Methodology detail: 0.0; Lowest recommendation: 0.0,Improve this paper aspect before submission.,Clarify the methodology with reproducible details.,Find and fix the strongest negative reviewer concern.,Improve this paper aspect before submission. Clarify the methodology with reproducible details. Find and fix the strongest negative reviewer concern. Address reviewer concerns that lowered recommendation scores.
1603.00448,arxiv.cs.ai_2007-2017,train,Guided Cost Learning: Deep Inverse Optimal Control via Policy Optimization,Accept,Modify,0.5606,0.4394,Has Conclusion: 0.0; Title Word Count: 10.0; Limitation discussion: 2.0,Improve this paper aspect before submission.,"Add limitations, failure cases, and future work.",Make the novelty and contribution claims more explicit.,"Improve this paper aspect before submission. Add limitations, failure cases, and future work. Make the novelty and contribution claims more explicit. Improve related-work coverage with precise citations. Find and fix the strongest negative reviewer concern."
1603.00748,arxiv.cs.ai_2007-2017,train,Continuous Deep Q-Learning with Model-based Acceleration,Accept,Accept,0.6582,0.3418,Has Conclusion: 0.0; Limitation discussion: 4.0; Sentence complexity: 24.471,Improve this paper aspect before submission.,"Add limitations, failure cases, and future work.",Improve readability by simplifying long sentences.,"Improve this paper aspect before submission. Add limitations, failure cases, and future work. Improve readability by simplifying long sentences. Make the novelty and contribution claims more explicit. Find and fix the strongest negative reviewer concern."
1603.00806,arxiv.cs.ai_2007-2017,train,Hybrid Collaborative Filtering with Neural Networks,Reject,Reject,0.3182,0.6818,Conclusion Word Count: 300.0; Has Experiments: 0.0; Experiment detail: 0.0,Improve this paper aspect before submission.,"Strengthen experiments with datasets, metrics, and comparisons.",Improve related-work coverage with precise citations.,"Improve this paper aspect before submission. Strengthen experiments with datasets, metrics, and comparisons. Improve related-work coverage with precise citations. Find and fix the strongest negative reviewer concern."
1603.01006,arxiv.cs.ai_2007-2017,train,Automatic learning of gait signatures for people identification,Reject,Modify,0.3819,0.6181,Conclusion Word Count: 206.0; Novelty framing: 38.0; Citation coverage: 31.0,Improve this paper aspect before submission.,Make the novelty and contribution claims more explicit.,Improve related-work coverage with precise citations.,"Improve this paper aspect before submission. Make the novelty and contribution claims more explicit. Improve related-work coverage with precise citations. Add limitations, failure cases, and future work. Find and fix the strongest negative reviewer concern."
1603.01121,arxiv.cs.ai_2007-2017,train,Deep Reinforcement Learning from Self-Play in Imperfect-Information Games,Reject,Modify,0.5964,0.4036,Conclusion Word Count: 175.0; Title Word Count: 8.0; Reproducibility evidence: 0.0,Improve this paper aspect before submission.,"Add implementation details, code/data notes, and hyperparameters.",Find and fix the strongest negative reviewer concern.,"Improve this paper aspect before submission. Add implementation details, code/data notes, and hyperparameters. Find and fix the strongest negative reviewer concern. Address reviewer concerns that lowered recommendation scores."
1603.01228,arxiv.cs.ai_2007-2017,train,GeoGebra Tools with Proof Capabilities,Reject,Reject,0.2146,0.7854,Methodology detail: 0.0; Conclusion Word Count: 229.0; Has Experiments: 0.0,Clarify the methodology with reproducible details.,Improve this paper aspect before submission.,"Strengthen experiments with datasets, metrics, and comparisons.","Clarify the methodology with reproducible details. Improve this paper aspect before submission. Strengthen experiments with datasets, metrics, and comparisons."
1603.0125,arxiv.cs.ai_2007-2017,train,"Decision Forests, Convolutional Networks and the Models in-Between",Reject,Modify,0.565,0.435,Has Conclusion: 0.0; Citation coverage: 40.0; Large Collaboration: 1.0,Improve this paper aspect before submission.,Improve related-work coverage with precise citations.,Find and fix the strongest negative reviewer concern.,Improve this paper aspect before submission. Improve related-work coverage with precise citations. Find and fix the strongest negative reviewer concern.
1603.01312,arxiv.cs.ai_2007-2017,train,Learning Physical Intuition of Block Towers by Example,Accept,Modify,0.4259,0.5741,Has Conclusion: 0.0; Has Experiments: 0.0; Experiment detail: 0.0,Improve this paper aspect before submission.,"Strengthen experiments with datasets, metrics, and comparisons.","Expand or tighten the manuscript so the contribution, method, evidence, and limitations are clear.","Improve this paper aspect before submission. Strengthen experiments with datasets, metrics, and comparisons. Expand or tighten the manuscript so the contribution, method, evidence, and limitations are clear. Improve related-work coverage with precise citations."
1603.02199,arxiv.cs.ai_2007-2017,train,Learning Hand-Eye Coordination for Robotic Grasping with Deep Learning and Large-Scale Data Collection,Reject,Modify,0.4356,0.5644,Has Conclusion: 0.0; Limitation discussion: 4.0; Title Word Count: 13.0,Improve this paper aspect before submission.,"Add limitations, failure cases, and future work.",Improve readability by simplifying long sentences.,"Improve this paper aspect before submission. Add limitations, failure cases, and future work. Improve readability by simplifying long sentences. Find and fix the strongest negative reviewer concern. Make the novelty and contribution claims more explicit."
1603.02738,arxiv.cs.ai_2007-2017,train,Learning to Blend Computer Game Levels,Reject,Reject,0.3393,0.6607,Has Experiments: 0.0; Conclusion Word Count: 154.0; Experiment detail: 0.0,Improve this paper aspect before submission.,"Strengthen experiments with datasets, metrics, and comparisons.",Find and fix the strongest negative reviewer concern.,"Improve this paper aspect before submission. Strengthen experiments with datasets, metrics, and comparisons. Find and fix the strongest negative reviewer concern."
1603.0274,arxiv.cs.ai_2007-2017,train,Pairwise Choice Markov Chains,Accept,Reject,0.2692,0.7308,Conclusion Word Count: 406.0; Has Experiments: 0.0; Experiment detail: 0.0,Improve this paper aspect before submission.,"Strengthen experiments with datasets, metrics, and comparisons.",Improve related-work coverage with precise citations.,"Improve this paper aspect before submission. Strengthen experiments with datasets, metrics, and comparisons. Improve related-work coverage with precise citations. Improve readability by simplifying long sentences."
1603.02776,arxiv.cs.ai_2007-2017,train,Implicit Discourse Relation Classification via Multi-Task Neural Networks,Accept,Modify,0.5121,0.4879,Conclusion Word Count: 165.0; Limitation discussion: 2.0; Title Word Count: 8.0,Improve this paper aspect before submission.,"Add limitations, failure cases, and future work.",Find and fix the strongest negative reviewer concern.,"Improve this paper aspect before submission. Add limitations, failure cases, and future work. Find and fix the strongest negative reviewer concern. Address reviewer concerns that lowered recommendation scores. Add implementation details, code/data notes, and hyperparameters."
1603.03112,arxiv.cs.ai_2007-2017,train,"Building a Fine-Grained Entity Typing System Overnight for a New X (X = Language, Domain, Genre)",Reject,Modify,0.4139,0.5861,Has Conclusion: 0.0; Title Word Count: 16.0; Novelty framing: 43.0,Improve this paper aspect before submission.,Make the novelty and contribution claims more explicit.,Improve related-work coverage with precise citations.,Improve this paper aspect before submission. Make the novelty and contribution claims more explicit. Improve related-work coverage with precise citations. Find and fix the strongest negative reviewer concern.
1603.03181,arxiv.cs.ai_2007-2017,train,Inferring Fine-grained Details on User Activities and Home Location from Social Media: Detecting Drinking-While-Tweeting Patterns in Communities,Reject,Modify,0.5102,0.4898,Has Conclusion: 0.0; Title Word Count: 17.0; Large Collaboration: 1.0,Improve this paper aspect before submission.,"Add limitations, failure cases, and future work.",Find and fix the strongest negative reviewer concern.,"Improve this paper aspect before submission. Add limitations, failure cases, and future work. Find and fix the strongest negative reviewer concern."
1603.03251,arxiv.cs.ai_2007-2017,train,A Markovian-based Approach For Daily Living Activities Recognition,Reject,Reject,0.3198,0.6802,Has Experiments: 0.0; Conclusion Word Count: 150.0; Experiment detail: 0.0,Improve this paper aspect before submission.,"Strengthen experiments with datasets, metrics, and comparisons.","Expand or tighten the manuscript so the contribution, method, evidence, and limitations are clear.","Improve this paper aspect before submission. Strengthen experiments with datasets, metrics, and comparisons. Expand or tighten the manuscript so the contribution, method, evidence, and limitations are clear."
1603.03518,arxiv.cs.ai_2007-2017,train,A Novel Divide and Conquer Approach for Large-scale Optimization Problems,Reject,Reject,0.3051,0.6949,Has Experiments: 0.0; Experiment detail: 0.0; Conclusion Word Count: 107.0,Improve this paper aspect before submission.,"Strengthen experiments with datasets, metrics, and comparisons.","Add implementation details, code/data notes, and hyperparameters.","Improve this paper aspect before submission. Strengthen experiments with datasets, metrics, and comparisons. Add implementation details, code/data notes, and hyperparameters."
1603.04402,arxiv.cs.ai_2007-2017,train,,Reject,Reject,0.2943,0.7057,Average Title Word Length: 0.0; Author Count: 0.0; Conclusion Word Count: 210.0,Improve this paper aspect before submission.,"Add limitations, failure cases, and future work.",Make the novelty and contribution claims more explicit.,"Improve this paper aspect before submission. Add limitations, failure cases, and future work. Make the novelty and contribution claims more explicit."
1603.05474,arxiv.cs.ai_2007-2017,train,Neural Aggregation Network for Video Face Recognition,Reject,Modify,0.4738,0.5262,Has Conclusion: 0.0; Large Collaboration: 1.0; Limitation discussion: 2.0,Improve this paper aspect before submission.,"Add limitations, failure cases, and future work.",Improve related-work coverage with precise citations.,"Improve this paper aspect before submission. Add limitations, failure cases, and future work. Improve related-work coverage with precise citations. Find and fix the strongest negative reviewer concern."
1603.06059,arxiv.cs.ai_2007-2017,train,Generating Natural Questions About an Image,Accept,Modify,0.5072,0.4928,Has Conclusion: 0.0; Has Experiments: 0.0; Experiment detail: 0.0,Improve this paper aspect before submission.,"Strengthen experiments with datasets, metrics, and comparisons.",Improve related-work coverage with precise citations.,"Improve this paper aspect before submission. Strengthen experiments with datasets, metrics, and comparisons. Improve related-work coverage with precise citations. Find and fix the strongest negative reviewer concern."
1603.06141,arxiv.cs.ai_2007-2017,train,Evolving Shepherding Behavior with Genetic Programming Algorithms,Reject,Modify,0.3943,0.6057,Has Conclusion: 0.0; Has Experiments: 0.0; Paper length: 2716.0,Improve this paper aspect before submission.,"Expand or tighten the manuscript so the contribution, method, evidence, and limitations are clear.","Strengthen experiments with datasets, metrics, and comparisons.","Improve this paper aspect before submission. Expand or tighten the manuscript so the contribution, method, evidence, and limitations are clear. Strengthen experiments with datasets, metrics, and comparisons. Clarify the methodology with reproducible details."
1603.07029,arxiv.cs.ai_2007-2017,train,Comparing Human and Automated Evaluation of Open-Ended Student Responses to Questions of Evolution,Reject,Reject,0.0729,0.9271,Has Introduction: 0.0; Introduction detail: 0.0; Conclusion Word Count: 193.0,Improve this paper aspect before submission.,"Expand or tighten the manuscript so the contribution, method, evidence, and limitations are clear.",,"Improve this paper aspect before submission. Expand or tighten the manuscript so the contribution, method, evidence, and limitations are clear."
1603.08789,arxiv.cs.ai_2007-2017,train,Using Enthymemes to Fill the Gap between Logical Argumentation and Revision of Abstract Argumentation Frameworks,Reject,Reject,0.0857,0.9143,Conclusion Word Count: 608.0; Methodology detail: 0.0; Title Word Count: 15.0,Improve this paper aspect before submission.,Clarify the methodology with reproducible details.,,Improve this paper aspect before submission. Clarify the methodology with reproducible details.
1603.08869,arxiv.cs.ai_2007-2017,train,Algorithms for Batch Hierarchical Reinforcement Learning,Reject,Modify,0.4456,0.5544,Limitation discussion: 4.0; Conclusion Word Count: 127.0; Citation coverage: 17.0,"Add limitations, failure cases, and future work.",Improve this paper aspect before submission.,Improve related-work coverage with precise citations.,"Add limitations, failure cases, and future work. Improve this paper aspect before submission. Improve related-work coverage with precise citations. Find and fix the strongest negative reviewer concern."
